Date,DIF,DEA,MACD,CCI,W&R,S1,S2,SAR,RSI1,RSI2,K,D,J,BOLL,UPPER,LOWER,K1,D1,PDI,MDI,ADX,ADXR,DDI,ADDI,AD,PSY,TRIX,TRMA,end,begin,highest,lowest,closing_price_down,swing,contract_volume,contract_position,one,two,three,all_v,all_p,delta
35059,0.3076,0.3153,-0.0153,0.00,41.04,17.76,18.67,19.04,83.97,64.77,85.91,74.77,0.00,18.05,19.12,16.97,88.80,73.79,31.63,5.44,33.43,26.12,0.69,0.39,0.05,0.00,-0.17,-0.31,19.27,19.14,19.29,19.02,0.679205852,1.410658307,11962,91690,0.43,0.74,0.98,23086,288749,0.2
34087,-0.0215,-0.0105,-0.0222,0.00,0.00,19.58,18.52,18.67,26.75,31.06,12.25,14.76,0.00,19.50,20.57,18.44,11.82,10.00,12.33,40.13,49.44,33.77,-0.64,-0.50,-0.36,0.00,-0.23,-0.14,20.19,20.18,20.22,20.13,0.049554014,0.445986125,12312,99999,-0.2,-0.35,-0.44,25064,301219,0.31
32752,-0.0526,-0.1126,0.1200,0.00,45.95,20.84,19.65,19.72,28.18,41.70,22.87,43.64,-18.68,20.17,20.87,19.47,21.66,54.68,23.48,30.00,24.64,31.32,-0.10,0.05,0.25,0.00,0.17,0.21,18.85,18.8,18.93,18.75,0.106213489,0.955921402,13991,57066,0.13,0.24,0.35,26004,211194,0.09
33234,0.0000,0.0000,0.3823,27.09,51.88,22.96,0.00,0.00,0.00,0.00,0.00,0.00,6.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.31,0.00,0.00,33.33,0.00,0.00,27.01,27,27.18,26.77,-0.77149155,1.506245408,14297,51435,0.87,1.8,2.67,26007,191977,0.42
35426,0.0000,0.0000,-0.0470,21.92,0.00,21.52,0.00,0.00,0.00,0.00,0.00,0.00,54.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.57,0.00,0.00,0.00,0.00,0.00,25.22,24.97,25.38,24.94,1.203852327,1.76565008,15562,101298,0.67,1.33,1.95,27236,296099,0.2
36153,-0.3259,-0.4631,0.2743,0.00,73.73,11.26,11.41,12.04,57.71,50.84,40.14,26.45,0.00,12.09,12.88,11.31,24.53,18.41,24.79,22.81,7.21,10.35,-0.27,-0.21,-0.15,58.33,-0.20,-0.08,11.23,11.33,11.4,11.15,-0.882612533,2.206531333,17137,113674,-0.23,-0.5,-0.76,27237,375438,0.21
32233,0.0000,0.0000,0.3224,74.38,0.00,17.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,58.33,0.00,0.00,17.08,17.01,17.1,16.96,0,0.819672131,10604,75546,0.1,0.17,0.24,27248,198227,-0.04
32836,-0.0201,-0.0205,0.0008,0.00,0.00,23.37,21.87,22.10,42.39,49.77,44.85,51.31,0.00,22.33,23.83,20.82,50.17,51.58,27.70,27.26,14.23,30.18,0.02,0.11,0.18,0.00,0.39,0.46,19.82,19.82,19.95,19.76,0,0.958627649,12809,64008,0.12,0.27,0.44,27286,218080,-0.19
33596,-0.8168,-0.7809,-0.0716,0.00,0.00,19.26,19.26,19.46,52.58,53.42,57.49,64.11,0.00,19.19,19.93,18.46,51.94,71.05,27.14,22.49,22.24,17.32,0.21,0.23,0.30,0.00,0.14,0.07,18.97,18.97,19.19,18.88,1.01171459,1.650692226,16059,65374,-0.02,-0.14,-0.19,28624,217862,-0.5
36521,0.0000,0.0000,-0.2036,25.73,31.90,29.05,0.00,0.00,0.00,0.00,0.00,0.00,64.94,0.00,0.00,0.00,0.00,0.00,0.00,9.23,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,26.33,26.01,26.38,25.92,1.778121376,1.778121376,19211,128319,0.83,1.6,2.34,28738,440743,0.47
34691,0.0000,0.0000,0.0992,156.12,0.00,18.78,0.00,0.00,0.00,0.00,0.00,0.00,21.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,58.33,0.00,0.00,17.35,17.11,17.4,17,1.521357519,2.340550029,15691,105386,0.1,0.06,0.02,28759,302126,0.32
34085,-0.0146,-0.0048,-0.0196,0.00,0.00,19.72,18.64,18.84,31.23,33.62,13.76,17.57,0.00,19.57,20.50,18.64,6.89,14.63,15.46,42.51,41.24,25.61,-0.56,-0.38,-0.16,0.00,-0.18,-0.10,20.3,20.33,20.38,20.25,-0.196656834,0.63913471,16592,99999,-0.19,-0.32,-0.4,30370,297711,-0.06
33200,-1.1161,-0.8840,-0.4640,0.00,0.00,23.69,31.00,32.00,75.89,65.28,76.37,65.18,0.00,27.55,31.03,24.07,73.90,62.66,37.07,14.62,31.99,19.63,0.48,0.39,0.27,0.00,0.01,-0.32,31.9,31,31.98,30.9,7.661154236,3.644954438,19614,52653,1.63,2.46,3.29,30446,192926,-0.9
32356,0.0000,0.0000,0.2904,52.84,0.00,14.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,0.00,0.00,50.00,0.00,0.00,16.08,16.23,16.25,16.06,-1.410177805,1.164929491,15253,57118,-0.12,-0.22,-0.32,30685,166793,-0.39
33231,0.0000,0.0000,0.1117,-88.04,80.67,23.43,0.00,0.00,0.00,0.00,0.00,0.00,91.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.00,41.67,0.00,0.00,25.92,25.92,25.92,25.92,0,0,14385,50076,0.73,1.61,2.36,31008,188327,0.22
34086,0.0000,0.0000,-0.0228,-23.67,42.03,19.65,0.00,0.00,0.00,0.00,0.00,0.00,6.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,25.00,0.00,0.00,20.18,20.24,20.28,20.15,-0.591133005,0.640394089,17461,99999,-0.2,-0.35,-0.44,31044,301219,0.01
34092,0.0000,0.0000,0.0715,122.08,4.82,19.30,0.00,0.00,0.00,0.00,0.00,0.00,19.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.63,0.00,0.00,16.67,0.00,0.00,20.57,20.5,20.6,20.44,0.194836824,0.779347297,15013,99999,-0.15,-0.25,-0.29,31055,308434,-0.2
33045,-0.5644,-0.5103,-0.1081,0.00,0.00,26.34,26.50,26.77,70.65,73.43,72.18,76.07,0.00,22.43,29.03,15.83,68.64,79.17,42.97,8.26,76.16,73.45,0.57,0.61,0.70,0.00,1.78,1.34,16.94,16.95,17.15,16.57,10.71895425,3.790849673,18397,90485,-0.6,-1.08,-1.45,31182,275074,0.39
33233,-1.3360,-1.4796,0.2872,0.00,0.00,23.26,20.75,20.88,34.94,40.90,52.60,60.28,0.00,21.74,23.42,20.06,74.81,72.35,24.32,17.01,29.15,32.10,-0.11,0.05,0.01,0.00,-0.67,-0.93,27.22,27,27.35,26.8,5.015432099,2.12191358,14642,0,0.95,1.97,2.87,31440,0,0.01
33484,0.0000,0.0000,0.0633,68.52,44.53,24.16,0.00,0.00,0.00,0.00,0.00,0.00,26.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.00,58.33,0.00,0.00,22.24,22.15,22.25,22.06,-0.08984726,0.853548967,17898,71277,0.12,0.27,0.42,31613,229855,-0.29
33884,0.0000,0.0000,-0.0442,59.71,20.45,20.65,0.00,0.00,0.00,0.00,0.00,0.00,11.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.20,0.00,0.00,33.33,0.00,0.00,21.89,21.88,21.94,21.88,0.366804218,0.275103164,15671,62343,0.07,0.16,0.27,32426,249555,0.02
33966,-0.0829,-0.2234,0.2811,0.00,0.00,20.38,19.19,19.42,32.37,43.64,21.48,32.88,0.00,19.82,20.89,18.75,16.66,36.84,15.13,30.92,41.23,47.97,-0.44,-0.02,0.30,0.00,0.17,0.23,19.82,20.03,20.08,19.77,-0.800800801,1.551551552,20279,92073,-0.06,-0.11,-0.13,32599,272944,-0.14
32447,0.0000,0.0000,-0.0741,-53.23,0.00,15.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,58.33,0.00,0.00,13.58,13.8,13.92,13.55,-1.949458484,2.671480144,0,61277,0.02,-0.01,-0.08,32629,196029,0.06
32787,0.2199,0.2162,0.0074,0.00,32.03,20.08,19.16,19.25,21.37,33.69,29.44,40.26,0.00,19.85,20.31,19.39,37.38,53.44,17.96,35.92,17.85,18.24,-0.13,-0.04,0.02,0.00,-0.05,-0.05,19.87,19.95,20.04,19.82,-0.450901804,1.102204409,11408,59789,0.19,0.42,0.6,33170,225314,0.22
33476,0.1554,0.1410,0.0286,0.00,0.00,23.07,23.42,23.67,75.17,73.52,86.92,87.84,0.00,22.65,23.84,21.46,89.35,87.43,48.46,7.49,70.03,63.54,0.65,0.62,0.60,0.00,0.28,0.20,21.97,21.88,22,21.85,0.733608436,0.687757909,20358,75189,0.1,0.24,0.38,33303,227950,0.05
33662,0.0000,0.0000,-0.0792,-26.02,64.61,20.50,0.00,0.00,0.00,0.00,0.00,0.00,49.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.00,66.67,0.00,0.00,18.68,18.69,18.71,18.6,-0.373333333,0.586666667,16912,76628,-0.17,-0.3,-0.38,33494,269546,-0.24
33242,-1.0777,-1.1455,0.1356,0.00,0.00,20.16,18.12,18.37,29.06,34.74,14.77,21.55,0.00,20.83,23.91,17.75,8.31,15.21,13.87,36.81,36.75,32.95,-0.38,-0.34,-0.25,0.00,-0.83,-0.72,24.9,25.8,26.15,24.15,-2.276295133,7.849293564,16199,48993,0.68,1.27,1.87,33534,198274,1.9
32458,-0.0575,-0.0950,0.0750,0.00,32.18,17.15,17.46,17.55,67.18,64.31,77.00,64.29,102.43,16.68,17.90,15.45,74.89,55.19,35.87,3.81,83.86,84.88,0.18,0.22,0.26,0.00,0.60,0.65,13.95,14.05,14.15,13.91,-0.214592275,1.716738197,0,45205,0.08,0.12,0.08,33559,215379,0.27
40809,-1.4257,0.0000,-1.4441,-219.04,82.38,96.07,0.00,0.00,0.00,0.00,0.00,0.00,89.90,0.00,100.47,0.00,0.00,0.00,0.00,10.07,0.00,0.00,0.65,0.00,0.00,0.00,0.00,0.00,79.85,80.4,81.81,77.55,-0.819773941,5.291268165,23912,321074,-1.39,-1.71,-1.91,33799,911404,0.6
33686,0.0000,0.0000,0.1243,64.66,24.73,20.69,0.00,0.00,0.00,0.00,0.00,0.00,31.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.00,0.00,50.00,0.00,0.00,19.13,19.13,19.19,19.03,1.216931217,0.846560847,20368,65992,-0.1,-0.15,-0.13,34000,268700,0.06
32448,-0.1802,-0.1337,-0.0931,0.00,85.83,16.30,16.45,16.61,55.15,58.64,45.69,61.83,13.39,15.96,17.30,14.62,45.98,71.30,37.62,1.96,78.16,73.48,0.32,0.39,0.52,0.00,0.71,0.67,13.44,13.38,13.53,13.36,-1.030927835,1.251840943,0,57594,0.03,0.03,-0.04,34490,195966,0.21
32455,0.0000,0.0000,0.0604,1.02,0.00,16.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.00,66.67,0.00,0.00,13.8,13.85,13.9,13.73,-1.849217639,1.209103841,0,52670,0.03,0.02,-0.03,34610,207254,0.19
35797,-0.4885,-0.4610,-0.0549,0.00,0.00,16.30,15.26,15.45,32.68,35.91,19.07,22.88,0.00,16.35,17.68,15.03,20.36,30.28,18.24,28.55,26.41,20.06,-0.31,-0.30,-0.31,25.00,-0.30,-0.23,17.43,17.68,17.68,17.4,-1.19047619,1.587301587,15865,117040,-0.23,-0.44,-0.63,34763,342719,-0.46
33571,0.0000,0.0000,-0.2799,-62.96,75.25,19.22,0.00,0.00,0.00,0.00,0.00,0.00,76.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.28,0.00,0.00,50.00,0.00,0.00,21.48,21.6,21.72,21.45,0.608899297,1.264637002,23692,70441,0.17,0.38,0.51,34883,229219,-0.27
32297,0.0000,0.0000,0.0427,36.98,0.00,15.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,41.67,0.00,0.00,17.5,17.67,17.68,17.47,-0.849858357,1.1898017,14616,59041,-0.18,-0.26,-0.3,34974,178523,-0.2
35422,0.3551,0.3037,0.1027,0.00,55.07,22.77,21.50,22.02,22.81,28.23,16.00,17.84,0.00,23.77,25.90,21.64,16.77,14.68,10.37,42.90,56.93,46.55,-0.45,-0.43,-0.41,33.33,-0.46,-0.31,24.79,25.1,25.17,24.68,-1.156299841,1.953748006,20153,102245,0.64,1.27,1.88,35259,294993,0.4
33968,-0.0832,-0.1726,0.1789,0.00,0.00,20.24,19.84,20.02,60.02,56.14,39.09,33.35,0.00,19.94,20.60,19.29,22.99,24.83,26.39,30.26,23.65,42.07,-0.08,-0.10,0.06,0.00,0.12,0.21,19.59,19.62,19.62,19.53,-0.254582485,0.458248473,18049,90892,-0.12,-0.2,-0.25,35404,278060,-0.09
32364,0.0000,0.0000,0.0049,-35.37,0.00,13.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.09,0.00,0.00,41.67,0.00,0.00,15.68,15.72,15.76,15.65,-1.197227473,0.693131695,9922,48344,-0.18,-0.3,-0.43,35511,189200,0.26
35209,0.0000,0.0000,0.1148,14.70,0.00,21.32,0.00,0.00,0.00,0.00,0.00,0.00,42.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,21.32,21.32,21.38,21.16,0.423928403,1.03626943,19541,97945,1,1.72,2.19,35594,333997,-0.31
32294,-0.0688,-0.0725,0.0074,0.00,40.28,15.00,16.08,16.39,70.85,59.42,66.91,46.73,107.26,15.39,16.50,14.28,60.51,34.07,38.25,17.99,20.05,23.56,0.21,-0.05,-0.24,0.00,-0.38,-0.49,17.51,17.4,17.59,17.38,0.458978772,1.204819277,15270,61831,-0.2,-0.3,-0.35,35744,172281,-0.02
32443,0.0000,0.0000,-0.0905,-59.45,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.74,0.00,0.00,58.33,0.00,0.00,13.68,13.42,13.72,13.29,2.013422819,3.206562267,0,62568,-0.01,-0.04,-0.11,36097,189497,0
35429,0.2744,0.2931,-0.0375,0.00,60.85,21.58,21.90,21.98,32.37,33.47,32.86,28.34,0.00,23.27,25.22,21.32,36.26,24.12,6.53,37.49,56.35,54.62,-0.55,-0.50,-0.45,41.67,-0.50,-0.43,25.37,25.17,25.55,25.12,0.594766059,1.704996035,22353,101343,0.7,1.37,2,36210,296106,0.63
33413,-0.2658,-0.2701,0.0087,0.00,0.00,21.73,21.16,21.27,36.27,46.07,52.18,54.20,0.00,21.53,21.99,21.07,68.17,56.59,14.69,29.61,34.56,29.84,-0.21,-0.11,-0.13,0.00,0.07,0.10,19.98,20.12,20.12,19.92,-1.235788433,0.988630746,19629,69788,-0.01,-0.07,-0.13,36350,237625,0.12
33228,-1.4640,-1.5295,0.1311,0.00,0.00,23.67,22.22,22.56,57.01,48.30,74.69,59.57,0.00,21.62,23.58,19.65,81.13,51.40,25.59,8.45,24.78,31.04,0.22,0.05,-0.07,0.00,-0.81,-1.01,25.92,26.4,26.75,25.8,-1.780977643,3.599848427,19855,52104,0.73,1.61,2.36,36460,187775,0
32749,0.0000,0.0000,0.1067,-19.12,0.00,20.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.00,58.33,0.00,0.00,18.64,18.68,18.76,18.62,0,0.751072961,18221,60873,0.25,0.36,0.47,36511,205447,0.19
32440,-0.0212,-0.0794,0.1164,0.00,99.57,14.06,16.19,16.35,75.45,68.70,89.52,86.88,94.79,15.01,17.19,12.84,90.32,85.29,40.41,5.96,68.80,55.44,0.43,0.50,0.47,0.00,0.63,0.50,13.17,13.5,13.65,13.16,-8.350730689,3.409881698,0,75478,-0.19,-0.19,-0.24,37186,203562,0.14
33721,0.0000,0.0000,-0.0676,28.78,34.38,22.05,0.00,0.00,0.00,0.00,0.00,0.00,27.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,50.00,0.00,0.00,20.29,20.28,20.33,20.18,0.346191889,0.741839763,22772,90853,-0.06,-0.05,-0.02,37515,269885,0.09
33270,-1.7620,-1.5788,-0.3663,0.00,0.00,20.78,19.38,19.76,43.86,46.17,41.57,56.74,0.00,19.83,20.90,18.77,52.80,69.50,24.86,27.65,18.79,23.92,0.08,0.07,0.11,0.00,-0.09,-0.25,21.34,21.9,21.95,21.25,-0.928505107,3.249767874,21020,63010,0.94,1.69,2.19,37618,233328,-0.23
33238,0.0000,0.0000,0.7142,149.51,12.00,22.15,0.00,0.00,0.00,0.00,0.00,0.00,-10.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.39,0.00,0.00,41.67,0.00,0.00,28.44,28.2,28.7,28,3.155603917,2.538991658,15896,51239,0.64,1.73,2.64,37626,189167,-1.63
35240,0.0000,0.0000,0.0566,-60.06,0.00,20.99,0.00,0.00,0.00,0.00,0.00,0.00,80.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.00,0.00,0.00,0.00,19.98,19.78,20.13,19.76,0.301204819,1.857429719,26865,88154,0.64,1.07,1.36,37957,294976,-0.09
33875,0.0702,0.1199,-0.0994,0.00,0.00,20.77,20.19,20.26,39.97,37.33,31.59,30.06,0.00,20.71,21.56,19.85,25.79,32.90,17.00,24.60,28.88,42.59,-0.07,-0.19,-0.28,0.00,-0.30,-0.29,21.76,21.73,21.79,21.67,0.36900369,0.553505535,21382,77469,0.1,0.17,0.3,37981,256809,-0.05
32258,0.0000,0.0000,0.2214,64.39,0.00,17.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.42,0.00,0.00,41.67,0.00,0.00,18.4,18.38,18.44,18.27,0.546448087,0.928961749,22854,75435,0.06,0.13,0.19,37995,167512,0.15
32288,0.0000,0.0000,-0.0499,-92.50,0.00,16.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.16,0.00,0.00,50.00,0.00,0.00,17.37,17.4,17.4,17.27,-0.172413793,0.747126437,20097,65242,-0.19,-0.3,-0.36,38188,166891,0.24
33477,0.0000,0.0000,0.0341,50.12,57.73,23.25,0.00,0.00,0.00,0.00,0.00,0.00,92.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.00,0.00,75.00,0.00,0.00,21.98,21.93,22.03,21.87,0.045516614,0.728265817,21851,72052,0.1,0.21,0.33,38235,227227,-0.17
33967,0.0000,0.0000,0.2274,31.21,37.93,20.31,0.00,0.00,0.00,0.00,0.00,0.00,16.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.29,0.00,0.00,41.67,0.00,0.00,19.64,19.78,19.8,19.58,-0.908173562,1.109989909,20695,90892,-0.08,-0.15,-0.19,38393,276778,-0.03
35758,0.0000,0.0000,-0.2166,-96.12,0.00,16.83,0.00,0.00,0.00,0.00,0.00,0.00,16.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.45,0.00,0.00,0.00,0.00,0.00,19.83,19.79,19.85,19.63,0.354251012,1.113360324,20774,118244,-0.15,-0.22,-0.25,38521,323516,-0.16
33424,0.0153,-0.1097,0.2500,0.00,0.00,21.34,21.85,21.97,57.63,56.23,38.36,41.18,0.00,21.61,22.26,20.96,32.53,42.47,32.87,21.24,22.53,25.36,0.16,0.10,0.08,0.00,0.09,0.07,20.89,20.68,20.92,20.67,1.064344461,1.209482342,17753,61091,0.11,0.24,0.32,38596,245412,0.17
32454,-0.0916,-0.1283,0.0735,0.00,13.51,16.78,16.85,17.24,64.62,63.09,45.69,47.61,41.85,16.32,17.60,15.03,41.30,39.56,39.23,2.60,88.33,81.24,0.24,0.29,0.34,0.00,0.65,0.69,14.06,14.15,14.2,13.92,0.142450142,1.994301994,0,52029,0.15,0.15,0.13,38596,204557,-0.05
32449,0.0000,0.0000,-0.0581,-43.70,0.00,16.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,66.67,0.00,0.00,13.75,13.54,13.78,13.47,2.306547619,2.306547619,0,55768,0.07,0.1,0.04,38635,196600,0.17
